source,base,quote,instrument,url,at,raw_file,mid,spread_bps,levels,bid_1pct_usd,ask_1pct_usd,min_1pct_usd,complete_1pct,bid_2pct_usd,ask_2pct_usd,min_2pct_usd,complete_2pct,assessment,error,contract_base_units
COINBASE,USDT,USD,USDT/USD spot,https://api.exchange.coinbase.com/products/USDT-USD/book?level=2,2026-09-18T09:58:43.738034+00:00,book-COINBASE-USDT-USD.json,0.999115,0.10008857839142131,"[262, 275]",2272996.4379932,3650095.8613394,2272996.4379932,True,2322317.4528452,3775311.8852109,2322317.4528452,True,Deeper,,
COINBASE,XAUT,USD,XAUT/USD spot,https://api.exchange.coinbase.com/products/XAUT-USD/book?level=2,2026-09-18T09:58:50.248832+00:00,book-COINBASE-XAUT-USD.json,,,,,,,,,,,,Unverified,"HTTP 404 {""message"":""NotFound""}",
COINBASE,XMR,USD,XMR/USD spot,https://api.exchange.coinbase.com/products/XMR-USD/book?level=2,2026-09-18T09:58:49.768533+00:00,book-COINBASE-XMR-USD.json,,,,,,,,,,,,Unverified,"HTTP 404 {""message"":""NotFound""}",
COINBASE,ZEC,USD,ZEC/USD spot,https://api.exchange.coinbase.com/products/ZEC-USD/book?level=2,2026-09-18T09:58:49.865775+00:00,book-COINBASE-ZEC-USD.json,1479.385,1.689891407578149,"[5086, 1314]",1946204.0423519698,1297238.6790163664,1297238.6790163664,True,2966561.1493400144,2552197.178228908,2552197.178228908,True,Deeper,,
GATEIO,BTC,USDT,BTC/USDT spot,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=BTC_USDT&limit=1000,2026-09-18T09:58:18.571834+00:00,book-GATEIO-BTC-USDT.json,78191.65,0.012789089370958262,"[1000, 1000]",9665641.379781116,7026334.9068911895,7026334.9068911895,False,11375546.373434253,7026334.9068911895,7026334.9068911895,False,Deeper,,
GATEIO,DAI,USDT,DAI/USDT spot,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=DAI_USDT&limit=1000,2026-09-18T09:58:28.679134+00:00,book-GATEIO-DAI-USDT.json,,,,,,,,,,,,Unverified,"HTTP 400 {""label"":""INVALID_CURRENCY"",""message"":""currency DAI is delisted""}",
GATEIO,DOG,USDT,DOG/USDT spot,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=DOG_USDT&limit=1000,2026-09-18T09:58:39.461587+00:00,book-GATEIO-DOG-USDT.json,0.0010287500000000002,22.357229647630632,"[602, 1000]",8927.481182176864,1253.605688190425,1253.605688190425,True,10553.794958685476,3504.1204284333753,3504.1204284333753,True,Very thin,,
GATEIO,ETH,USDT,ETH/USDT spot,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=ETH_USDT&limit=1000,2026-09-18T09:58:33.063646+00:00,book-GATEIO-ETH-USDT.json,2508.335,0.03986708314566546,"[1000, 1000]",2597454.0408249134,3829328.7023990154,2597454.0408249134,True,4998777.212824252,7941868.062438541,4998777.212824252,False,Deeper,,
GATEIO,STRK,USDT,STRK/USDT spot,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=STRK_USDT&limit=1000,2026-09-18T09:58:37.072720+00:00,book-GATEIO-STRK-USDT.json,0.034205,14.617745943573892,"[187, 1000]",13187.256681268327,23013.613385559063,13187.256681268327,True,22123.70146622399,35823.52270013284,22123.70146622399,True,Thin,,
GATEIO,USDC,USDT,USDC/USDT spot,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=USDC_USDT&limit=1000,2026-09-18T09:58:39.249561+00:00,book-GATEIO-USDC-USDT.json,1.00075,0.9992505620783311,"[192, 146]",35521630.78139915,28384626.554442026,28384626.554442026,True,35521899.589342214,28384757.275535896,28384757.275535896,True,Deeper,,
GATEIO,WBTC,BTC,WBTC/BTC spot,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=WBTC_BTC&limit=1000,2026-09-18T10:07:07.866086+00:00,book-GATEIO-WBTC-BTC.json,,,,,,,,,,,,Unverified,"HTTP 400 {""label"":""INVALID_CURRENCY_PAIR"",""message"":""Invalid currency pair WBTC_BTC""}",
GATEIO,WBTC,USDT,WBTC/USDT spot,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=WBTC_USDT&limit=1000,2026-09-18T09:58:41.428283+00:00,book-GATEIO-WBTC-USDT.json,78162.79999999999,23.694135829319972,"[189, 70]",56896.01236002625,43680.60568777125,43680.60568777125,True,77962.51729504,46105.68531477,46105.68531477,True,Thin,,
HUOBI,BTC,USDT,BTC/USDT spot,https://api.huobi.pro/market/depth?symbol=btcusdt&type=step0,2026-09-18T10:00:55.877234+00:00,book-HUOBI-BTC-USDT.json,78183.655,0.0012790397186359765,"[150, 150]",9479229.54093888,11196014.673719237,9479229.54093888,False,9479229.54093888,11196014.673719237,9479229.54093888,False,Deeper,,
